0.329	-0.261	0.198	-0.046	-0.039	-0.005	
0.328	-0.217	-0.086	-0.062	-0.045	-0.004	
-0.000	-0.452	0.124	-0.028	-0.038	-0.003	
0.287	-0.467	-0.255	-0.057	-0.035	-0.003	
0.296	-0.328	0.201	-0.048	-0.041	0.002	
0.512	-0.461	-0.067	-0.060	-0.045	-0.004	
0.369	-0.241	-0.002	-0.040	-0.045	0.000	
0.289	-0.176	-0.171	-0.065	-0.059	0.002	
0.351	-0.304	-0.115	-0.048	-0.045	-0.010	
0.397	-0.455	0.013	-0.036	-0.043	0.001	
0.232	-0.057	-0.091	-0.068	-0.026	0.010	
0.328	-0.232	-0.180	-0.038	-0.037	-0.006	
0.346	-0.181	-0.024	-0.066	-0.039	0.010	
0.398	-0.137	0.239	-0.034	-0.068	-0.009	
0.270	-0.235	-0.164	-0.040	-0.046	-0.020	
0.583	-0.153	0.279	-0.047	-0.041	0.007	
0.255	-0.602	-0.032	-0.041	-0.041	0.001	
0.128	-0.345	-0.141	-0.051	-0.065	0.004	
0.439	-0.630	-0.116	-0.031	-0.043	-0.002	
0.407	-0.143	0.217	-0.057	-0.065	-0.006	
0.147	-0.100	0.261	-0.047	-0.025	-0.005	
0.344	-0.505	-0.348	-0.046	-0.055	-0.001	
0.382	-0.395	0.028	-0.039	-0.044	-0.006	
0.594	-0.150	0.134	-0.060	-0.065	0.002	
0.387	-0.293	-0.220	-0.086	-0.034	0.012	
0.396	-0.074	0.135	-0.044	-0.064	-0.011	
0.211	-0.383	0.071	-0.050	-0.037	-0.013	
0.021	-0.293	-0.237	-0.075	-0.049	-0.000	
0.192	-0.546	-0.132	-0.054	-0.056	0.002	
0.231	-0.511	0.079	-0.051	-0.044	-0.003	
0.460	-0.392	0.262	-0.018	-0.037	-0.008	
0.297	-0.058	-0.083	-0.046	-0.045	-0.012	
0.392	-0.359	-0.188	-0.060	-0.061	0.005	
0.469	-0.347	0.257	-0.040	-0.040	-0.001	
0.275	-0.136	-0.190	-0.065	-0.048	0.004	
0.416	-0.313	-0.095	-0.053	-0.049	-0.004	
0.472	-0.366	0.089	-0.027	-0.046	-0.008	
0.164	-0.413	-0.096	-0.057	-0.035	-0.004	
0.157	-0.487	-0.074	-0.065	-0.033	-0.001	
0.187	-0.216	0.101	-0.031	-0.055	0.004	
0.215	-0.085	-0.048	-0.054	-0.052	0.013	
0.354	-0.245	0.272	-0.021	-0.041	-0.008	
0.284	-0.370	-0.285	-0.058	-0.052	0.010	
0.491	-0.381	0.049	-0.041	-0.044	0.001	
0.378	-0.148	-0.058	-0.061	-0.040	-0.013	
0.479	-0.191	0.022	-0.065	-0.060	0.005	
0.440	-0.508	-0.038	-0.059	-0.048	0.001	
0.273	-0.238	-0.111	-0.045	-0.035	0.009	
0.280	-0.501	0.011	-0.054	-0.052	-0.002	
0.531	-0.473	-0.102	-0.052	-0.028	-0.002	
0.125	-0.156	-0.262	-0.064	-0.046	0.009	
0.195	-0.429	-0.069	-0.038	-0.058	0.003	
0.329	-0.445	-0.195	-0.039	-0.039	-0.000	
0.229	-0.558	-0.223	-0.040	-0.043	0.006	
0.231	-0.269	-0.127	-0.062	-0.047	-0.002	
0.627	-0.555	-0.004	-0.043	-0.041	-0.004	
0.340	-0.369	-0.343	-0.056	-0.048	0.009	
0.174	-0.200	0.119	-0.033	-0.039	-0.001	
0.110	-0.483	0.097	-0.040	-0.035	0.002	
0.294	-0.053	-0.276	-0.072	-0.049	0.007	
0.280	-0.277	-0.087	-0.050	-0.053	0.001	
0.065	-0.561	0.140	-0.023	-0.049	-0.004	
0.235	-0.239	-0.019	-0.045	-0.046	0.011	
0.250	-0.002	-0.277	-0.055	-0.033	0.012	
0.237	-0.157	0.374	-0.040	-0.046	-0.002	
0.420	-0.430	-0.144	-0.052	-0.051	-0.002	
0.177	-0.409	-0.184	-0.032	-0.057	-0.005	
0.249	-0.196	0.207	-0.040	-0.053	0.009	
0.300	-0.194	-0.001	-0.033	-0.042	0.007	
0.448	-0.595	-0.028	-0.039	-0.044	-0.004	
0.369	-0.281	-0.021	-0.068	-0.052	0.014	
