521.940	-18.052	368.931	-0.031	-0.001	1.452	
521.923	-18.035	368.938	-0.031	-0.001	1.452	
521.928	-18.034	368.960	-0.031	-0.001	1.452	
521.908	-18.034	368.919	-0.031	-0.001	1.452	
521.937	-18.053	368.952	-0.031	-0.001	1.452	
521.918	-18.049	368.916	-0.031	-0.001	1.452	
521.929	-18.033	368.907	-0.031	-0.001	1.452	
521.922	-18.048	368.925	-0.031	-0.001	1.452	
521.924	-18.044	368.931	-0.031	-0.001	1.452	
521.940	-18.027	368.925	-0.031	-0.001	1.452	
521.918	-18.049	368.901	-0.031	-0.001	1.452	
521.921	-18.039	368.951	-0.031	-0.001	1.452	
521.933	-18.054	368.931	-0.031	-0.001	1.452	
521.908	-18.040	368.907	-0.031	-0.001	1.452	
521.924	-18.060	368.946	-0.031	-0.001	1.452	
521.938	-18.043	368.938	-0.031	-0.001	1.452	
521.917	-18.049	368.928	-0.031	-0.001	1.452	
521.915	-18.029	368.915	-0.031	-0.001	1.452	
521.905	-18.041	368.890	-0.031	-0.000	1.452	
521.913	-18.026	368.928	-0.031	-0.001	1.452	
521.928	-18.031	368.926	-0.031	-0.001	1.452	
521.917	-18.056	368.943	-0.031	-0.001	1.452	
521.915	-18.050	368.894	-0.031	-0.001	1.452	
521.912	-18.051	368.934	-0.031	-0.001	1.452	
521.942	-18.045	368.954	-0.031	-0.001	1.452	
521.933	-18.045	368.942	-0.031	-0.001	1.452	
521.933	-18.069	368.948	-0.031	-0.001	1.452	
521.932	-18.042	368.908	-0.031	-0.001	1.452	
521.935	-18.029	368.936	-0.031	-0.001	1.452	
521.944	-18.054	368.940	-0.031	-0.001	1.452	
521.921	-18.039	368.937	-0.031	-0.001	1.452	
521.919	-18.043	368.910	-0.031	-0.001	1.452	
521.941	-18.045	368.932	-0.031	-0.001	1.452	
521.932	-18.020	368.943	-0.031	-0.001	1.452	
521.907	-18.059	368.931	-0.031	-0.001	1.452	
521.940	-18.039	368.905	-0.031	-0.001	1.452	
521.936	-18.025	368.937	-0.031	-0.001	1.452	
521.905	-18.047	368.906	-0.031	-0.001	1.452	
521.929	-18.040	368.929	-0.031	-0.001	1.452	
521.925	-18.056	368.933	-0.031	-0.001	1.452	
521.909	-18.033	368.926	-0.031	-0.001	1.452	
521.937	-18.040	368.952	-0.031	-0.001	1.452	
521.926	-18.038	368.933	-0.031	-0.001	1.452	
521.926	-18.038	368.894	-0.031	-0.001	1.452	
521.925	-18.038	368.940	-0.031	-0.001	1.452	
521.917	-18.047	368.909	-0.031	-0.001	1.452	
521.915	-18.044	368.901	-0.031	-0.001	1.452	
521.936	-18.059	368.917	-0.031	-0.001	1.452	
521.924	-18.035	368.940	-0.031	-0.001	1.452	
521.919	-18.080	368.909	-0.031	-0.001	1.452	
521.929	-18.052	368.935	-0.031	-0.001	1.452	
521.938	-18.043	368.958	-0.031	-0.001	1.452	
521.918	-18.031	368.916	-0.031	-0.001	1.452	
521.934	-18.057	368.942	-0.031	-0.001	1.452	
521.914	-18.023	368.915	-0.031	-0.001	1.452	
521.940	-18.042	368.951	-0.031	-0.001	1.452	
521.918	-18.043	368.924	-0.031	-0.001	1.452	
521.913	-18.057	368.901	-0.031	-0.001	1.452	
521.930	-18.036	368.900	-0.031	-0.001	1.452	
521.928	-18.043	368.913	-0.031	-0.001	1.452	
521.925	-18.044	368.945	-0.031	-0.001	1.452	
521.937	-18.074	368.917	-0.031	-0.001	1.452	
521.919	-18.052	368.923	-0.031	-0.001	1.452	
521.930	-18.046	368.941	-0.031	-0.001	1.452	
521.935	-18.023	368.931	-0.031	-0.001	1.452	
521.931	-18.021	368.936	-0.031	-0.001	1.452	
521.926	-18.031	368.921	-0.031	-0.001	1.452	
521.932	-18.032	368.937	-0.031	-0.001	1.452	
521.917	-18.062	368.916	-0.031	-0.001	1.452	
521.947	-18.034	368.941	-0.031	-0.001	1.452	
521.912	-18.048	368.899	-0.031	-0.000	1.452	
521.934	-18.029	368.923	-0.031	-0.001	1.452	
521.929	-18.031	368.913	-0.031	-0.001	1.452	
521.948	-18.034	368.949	-0.031	-0.001	1.452	
521.926	-18.041	368.940	-0.031	-0.001	1.452	
521.910	-18.033	368.899	-0.031	-0.001	1.452	
521.926	-18.062	368.920	-0.031	-0.001	1.452	
521.924	-18.026	368.926	-0.031	-0.001	1.452	
521.920	-18.027	368.910	-0.031	-0.001	1.452	
521.917	-18.053	368.916	-0.031	-0.001	1.452	
521.915	-18.050	368.922	-0.031	-0.001	1.452	
521.915	-18.056	368.922	-0.031	-0.001	1.452	
